movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
39,Transformers: Dark of the Moon,http://resizing.flixster.com/SnAb2Xw6Wp8we8btiHQkf8xanHc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169150_ori.jpg,4.9,6.3,PG-13,154,Paramount,"$1,123,794,079.00 ",29-Jun-11
40,Alice in Wonderland,http://resizing.flixster.com/Keg-ch93mJuhBIB3t7zgFAf2N_c=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/73/10937308_ori.jpg,5.7,6.5,PG,108,Walt Disney Pictures,"$1,025,467,110.00 ",05-Mar-10
41,Despicable Me,http://resizing.flixster.com/VoG3m3OewOKv5t1EQbX-kwLFuAY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168864_ori.jpg,6.8,7.7,PG,95,Universal / Illumination,"$543,113,985.00 ",09-Jul-10
42,Harry Potter and the Deathly Hallows - Part 1,http://resizing.flixster.com/VRBPaLlcQQjBaaobjVvpTavdEso=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163674_ori.jpg,7.1,7.7,PG-13,146,Warner Bros.,"$960,283,305.00 ",19-Nov-10
43,How to Train Your Dragon,http://resizing.flixster.com/kSxnnx5oPhqDlOnvpGUQXpVoAsA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176619_ori.jpg,7.9,8.2,PG,98,Paramount / DreamWorks,"$494,878,759.00 ",26-Mar-10
44,Inception,http://resizing.flixster.com/THwVJ6BnMSZz1ygWPdIEok_wVhA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166725_ori.jpg,8,8.8,PG-13,148,Warner Bros. / Legendary,"$825,531,030.00 ",16-Jul-10
45,Iron Man 2,http://resizing.flixster.com/-39Qh0s24nsZP81IZAbL774F6HA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/20/11122085_ori.jpg,6.5,7.1,PG-13,124,Paramount / Marvel,"$623,933,331.00 ",07-May-10
46,Shrek Forever After,http://resizing.flixster.com/uEi0yf7uXt-KtUdkF-AGY9smjp0=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/76/11127605_ori.jpg,5.9,6.4,PG,93,Paramount / DreamWorks,"$752,600,867.00 ",21-May-10
47,Tangled,http://resizing.flixster.com/UuaLvR-fxpgmESPegJcY0F2XJ-c=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/80/11158038_ori.png,7.5,7.8,PG,100,Disney,"$591,794,936.00 ",24-Nov-10
48,The Twilight Saga: Eclipse,http://resizing.flixster.com/caDfqgfBgZUEr0xairY8kwWQHGw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/43/11174382_ori.jpg,5.4,4.9,PG-13,124,Summit Entertainment,"$698,491,347.00 ",30-Jun-10
